gml:id,ID
bldg:Building,建築物
gml:description,説明
gml:name,名称
gml:boundedBy,範囲
core:creationDate,作成日
core:terminationDate,消滅日
core:relativeToTerrain,地表との関係
core:relativeToWater,水面との関係
bldg:class,分類
bldg:function,機能
bldg:usage,用途
bldg:yearOfConstruction,建築年
bldg:yearOfDemolition,解体年
bldg:roofType,屋根の種別
bldg:measuredHeight,計測高さ
bldg:storeysAboveGround,地上階数
bldg:storeysBelowGround,地下階数
bldg:storeyHeightsAboveGround,地上階高さ
bldg:storeyHeightsBelowGround,地下階高さ
bldg:lod0FootPrint,lod0接地面
bldg:lod0RoofEdge,lod0屋根面
bldg:lod1Solid,lod1立体
bldg:lod2Solid,lod2立体
bldg:outerBuildingInstallation,建物付属物
bldg:boundedBy,境界面
bldg:lod3Solid,lod3立体
bldg:consistsOfBuildingPart,建物部品
bldg:address,住所
uro:buildingIDAttribute,建物識別属性
uro:buildingDetailAttribute,建物利用現況
uro:largeCustomerFacilityAttribute,大規模小売店舗等の立地状況
uro:buildingDisasterRiskAttribute,災害リスク
uro:keyValuePairAttribute,拡張属性
uro:buildingDataQualityAttribute,データ品質
uro:BuildingIDAttribute,建物ID属性
uro:buildingID,建物ID
uro:branchID,建物ID枝番
uro:partID,建築物部分ID
uro:prefecture,都道府県
uro:city,市区町村
uro:BuildingDetailAttribute,建物利用現況
uro:serialNumberOfBuildingCertification,建築確認申請番号
uro:siteArea,敷地面積
uro:totalFloorArea,延床面積
uro:buildingFootprintArea,建築面積
uro:buildingRoofEdgeArea,図形面積
uro:developmentArea,開発面積
uro:buildingStructureType,構造種別
uro:buildingStructureOrgType,構造種別（自治体独自）
uro:fireproofStructureType,耐火構造種別
uro:implementingBody,事業主体
uro:urbanPlanType,都市計画区域
uro:areaClassificationType,区域区分
uro:districtsAndZonesType,地域地区
uro:landUseType,土地利用区分
uro:reference,参照情報
uro:majorUsage,建物利用現況（大分類）
uro:majorUsage2,建物利用現況（大分類2）
uro:orgUsage,建物利用現況（中分類）
uro:orgUsage2,建物利用現況（小分類）
uro:detailedUsage,建物利用現況（詳細分類）
uro:detailedUsage2,建物利用現況（詳細分類2）
uro:detailedUsage3,建物利用現況（詳細分類3）
uro:groundFloorUsage,1階用途
uro:secondFloorUsage,2階（以上）用途
uro:thirdFloorUsage,3階（以上）用途
uro:basementUsage,地下用途
uro:basementFirstUsage,地下1階用途
uro:basementSecondUsage,地下2階用途
uro:vacancy,空き家区分
uro:buildingCoverageRate,建蔽率
uro:floorAreaRate,容積率
uro:specifiedBuildingCoverageRate,指定建蔽率
uro:specifiedFloorAreaRate,指定容積率
uro:standardFloorAreaRate,基準容積率
uro:buildingHeight,建築物の高さ
uro:eaveHeight,軒の高さ
uro:note,備考
uro:surveyYear,調査年
uro:surfeyYear,調査年
uro:LargeCustomerFacilityAttribute,大規模小売店舗等の立地状況
uro:class,分類
uro:name,施設名称
uro:capacity,収容数
uro:owner,所有者名
uro:totalStoreFloorArea,店舗床面積
uro:inauguralDate,開業日（開校日）
uro:keyTenants,核テナント
uro:availability,利用可能性
uro:BuildingRiverFloodingRiskAttribute,洪水浸水リスク
uro:description,設定等名称
uro:rank,浸水ランク
uro:rankOrg,浸水ランク（独自分類）
uro:depth,浸水深
uro:adminType,指定機関
uro:scale,規模
uro:duration,浸水継続時間
uro:BuildingTsunamiRiskAttribute,津波浸水リスク
uro:BuildingHighTideRiskAttribute,高潮浸水リスク
uro:BuildingInlandFloodingRiskAttribute,内水浸水リスク
uro:BuildingLandSlideRiskAttribute,土砂災害リスク
uro:areaType,区域区分
uro:BuildingDataQualityAttribute,データ品質
uro:srcScale,地図情報レベル
uro:geometrySrcDesc,幾何属性作成方法
uro:thematicSrcDesc,主題属性作成方法
uro:appearanceSrcDesc,テクスチャ作成方法
uro:lodType,詳細LOD
uro:lod1HeightType,LOD1の立ち上げに使用する建築物の高さ
uro:KeyValuePairAttribute,拡張属性
uro:codeValue,値
bldg:BuildingPart,建築物部品
bldg:BuildingInstallation,建築物付属物
bldg:lod2Geometry,lod2幾何
bldg:lod3Geometry,lod3幾何
bldg:RoofSurface,屋根
bldg:lod2MultiSurface,lod2面
bldg:lod3MultiSurface,lod3面
bldg:opening,開口部
bldg:WallSurface,壁
bldg:GroundSurface,接地面
bldg:OuterCeilingSurface,屋外天井面
bldg:OuterFloorSurface,屋外床面
bldg:ClosureSurface,閉鎖面
bldg:Window,窓
bldg:Door,扉
frn:CityFurniture,都市設備
frn:class,分類
frn:function,機能
frn:usage,用途
frn:lod1Geometry,lod1幾何
frn:lod2Geometry,lod2幾何
frn:lod3Geometry,lod3幾何
uro:cityFurnitureDetailAttribute,都市設備詳細属性
uro:cityFurnitureDataQualityAttribute,データ品質
uro:facilityType,施設詳細区分
uro:desctiption,施設内容
uro:CityFurnitureDataQualityAttribute,データ品質
luse:LandUse,土地利用
luse:class,土地利用区分
luse:function,機能
luse:usage,用途
luse:lod1MultiSurface,lod1幾何
uro:LandUseDetailAttribute,土地利用現況
uro:LandDetailAttribute,土地利用現況
uro:orgLandUse,土地利用区分（独自分類）
uro:nominalArea,公称面積
uro:ownerType,所有者区分
uro:areaInSquareMeter,面積（m2）
uro:areaInHa,面積（ha）
dem:ReliefFeature,地形
dem:lod,lod
dem:reliefComponent,地形構成要素
dem:TINRelief,TIN地形
dem:extent,範囲
dem:tin,TIN
dem:MassPointRelief,点群地形
dem:reliefPoints,点群
tran:Road,道路
tran:class,分類
tran:function,機能
tran:usage,用途
tran:trafficArea,交通領域
tran:auxiliaryTrafficArea,交通補助領域
tran:lod0Network,lod0ネットワーク
tran:lod1MultiSurface,lod1面
tran:lod2MultiSurface,lod2面
tran:lod3MultiSurface,lod3面
uro:roadStructureAttribute,道路構造属性
uro:trafficVolumeAttribute,交通量属性
uro:roadDataQualityAttribute,データ品質
uro:RoadStructureAttribute,道路構造属性
uro:widthType,幅員区分
uro:width,幅員
uro:numberOfLanes,車線数
uro:sectionType,区間種別
uro:TrafficVolumeAttribute,交通量属性
uro:sectionID,交通調査基本区間番号
uro:weekday12hourTrafficVolume,平日12時間交通量
uro:weekday24hourTrafficVolume,平日24時間交通量
uro:largeVehicleRate,大型車混入率
uro:congestionRate,混雑度
uro:averageTravelSpeedInCongestion,混雑時平均旅行速度
uro:averageInboundTravelSpeedInCongestion,混雑時平均旅行速度（上り）
uro:averageOutboundTravelSpeedInCongestion,混雑時平均旅行速度（下り）
uro:observationPointName,観測地点名
uro:RoadDataQualityAttribute,データ品質
tran:TrafficArea,交通領域
tran:surfaceMaterial,舗装種類
uro:trafficAreaStructureAttribute,道路構造属性
uro:TrafficAreaStructureAttribute,道路構造属性
tran:AuxiliaryTrafficArea,交通補助領域
veg:SolitaryVegetationObject,単独木
veg:class,分類
veg:function,機能
veg:usage,用途
veg:species,樹種
veg:height,樹高
veg:trunkDiamiter,幹径
veg:crownDiamiter,樹冠径
veg:lod1Geometry,lod1幾何
veg:lod2Geometry,lod2幾何
veg:lod3Geometry,lod3幾何
uro:vegetationDataQualityAttribute,データ品質
uro:VegetationDataQualityAttribute,データ品質
veg:PlantCover,植被
veg:averageHeight,平均高
veg:lod1MultiSurface,lod1面
veg:lod2MultiSurface,lod2面
veg:lod3MultiSurface,lod3面
veg:lod1Solid,lod1立体
veg:lod2Solid,lod2立体
veg:lod3Solid,lod3立体
wtr:WaterBody,洪水浸水想定区域、津波浸水想定、高潮浸水想定区域、内水浸水想定区域
wtr:class,分類
wtr:function,機能
wtr:usage,用途
wtr:lod1MultiSurface,lod1面
uro:floodingRiskAttribute,災害リスク
uro:WaterBodyRiverFloodingRiskAttribute,洪水浸水想定区域
uro:WaterBodyTsunamiFloodingRiskAttribute,津波浸水想定
uro:WaterBodyHighTideFloodingRiskAttribute,高潮浸水想定区域
uro:WaterBodyInlandFloodingRiskAttribute,内水浸水想定区域
urf:UrbanPlanningArea,都市計画区域
urf:class,分類
urf:function,区域の種類
urf:usage,用途
urf:validFrom,有効となる日
urf:validFromType,有効となる日の区分
urf:enactmentFiscalYear,決定年度
urf:validTo,無効となる日
urf:validToType,無効となる日の区分
urf:expirationFiscalYear,廃止年度
urf:legalGrounds,法的背景
urf:custodian,決定者
urf:notificationNumber,告示番号
urf:urbanPlanType,都市計画区域
urf:areaClassificationType,区域区分
urf:nominalArea,総面積
urf:prefecture,都道府県名
urf:city,市区町村名
urf:reference,参考
urf:reason,決定の事由
urf:note,備考
urf:surveyYear,調査年度
urf:lod1MultiSurface,LOD1面
urf:boundary,境界
urf:location,所在地
urf:areaClassification,区域区分の決定の有無
urf:reasonForAreaClassification,区域区分を決定する理由又はしない理由
urf:policyForAreaClassification,区域区分の決定方針
urf:purposeForUrbanPlan,目標
urf:policyForUrbanPlanDecision,土地利用、都市施設の整備及び市街地開発事業に関する主要な都市計画の決定の方針
urf:population,人口
urf:cityArea,準都市計画区域面積（市区町村内）
urf:cityPopulation,準都市計画区域内の人口（市区町村内）
urf:QuasiUrbanPlanningArea,準都市計画区域
urf:AreaClassification,区域区分
urf:DistrictsAndZones,地域地区
urf:areaInTotal,面積（合計）
urf:UseDistrict,用途地域
urf:floorAreaRate,容積率の限度
urf:minimumSiteArea,敷地面積の最低限度
urf:buildingCoverageRate,建ぺい率の限度
urf:wallSetbackDistance,外壁の後退距離
urf:buildingHeightLimits,高さの規制
urf:buildingRestrictions,建築物に関する制限
urf:otherRestrictions,建築物の敷地、構造又は建築設備に対する制限
urf:setbackRestrictions,建築物の各部分の高さの制限
urf:shadeRegulation,日影規制
urf:SpecialUseDistrict,特別用途地区
urf:SpecialUseRestrictionDistrict,特定用途制限地域
urf:ExceptionalFloorAreaRateDistrict,特例容積率適用地区
urf:HighRiseResidentialAttractionDistrict,高層住居誘導地区
urf:maximumBuildingCoverageRate,建ぺい率の最高限度
urf:HeightControlDistrict,高度地区
urf:maximumBuildingHeight,建築物の高さの最高限度
urf:minimumBuildingHeight,建築物の高さの最低限度
urf:HighLevelUseDistrict,高度利用地区
urf:maximumFloorAreaRate,容積率の最高限度
urf:minimumFloorAreaRate,容積率の最低限度
urf:minimumBuildingArea,建築面積の最低限度
urf:setbackSize,壁面の後退距離
urf:SpecifiedBlock,特定街区
urf:SpecialUrbanRenaissanceDistrict,都市再生特別地区
urf:useToBeInduced,誘導すべき用途
urf:HousingControlArea,居住調整地域
urf:ResidentialEnvironmentImprovementDistrict,居住環境向上用途誘導地区
urf:SpecialUseAttractionDistrict,特定用途誘導地区
urf:FirePreventionDistrict,防火地域又は準防火地域
urf:SpecifiedDisasterPreventionBlockImprovementZone,特定防災街区整備地区
urf:minimumFrontageRate,間口率の最低限度
urf:LandscapeZone,景観地区
urf:buildingDesignRestriction,建築物の形態及び意匠にかかる制限
urf:ScenicDistrict,風致地区
urf:wallSetbackDistanceWithRoad,壁面から敷地境界までの距離（道路に接する部分）
urf:wallSetbackDistanceWithAdjoiningLand,壁面から敷地境界までの距離（道路に接しない部分）
urf:ParkingPlaceDevelopmentZone,駐車場整備地区
urf:PortZone,臨港地区
urf:SpecialZoneForPreservationOfHistoricalLandscape,歴史的風土特別保存地区
urf:ZoneForPreservationOfHistoricalLandscape,第一種歴史的風土保存地区又は第二種歴史的風土保存地区
urf:GreenSpaceConservationDistrict,緑地保全地域
urf:SpecialGreenSpaceConservationDistrict,特別緑地保全地域
urf:requirement,指定の要件
urf:TreePlantingDistrict,緑化地域
urf:minimumGreenRate,緑化率の最低限度
urf:DistributionBusinessZone,流通業務地区
urf:guidelinePublicationDate,基本方針が定められた日
urf:ProductiveGreenZone,生産緑地地区
urf:zoneNumber,区域番号
urf:specification,特定生産緑地指定の有無
urf:ConservationZoneForClustersOfTraditionalStructures,伝統的建造物群保存地区
urf:AircraftNoiseControlZone,航空機騒音障害防止地区又は航空機騒音障害防止特別地区
urf:ProjectPromotionArea,促進区域
urf:developmentPolicy,開発の方針
urf:publicFacilitiesPlans,公共施設に関する都市計画
urf:UrbanRedevelopmentPromotionArea,市街地再開発促進区域
urf:publicFacilities,公共施設の位置及び規模
urf:unitArea,整備区の単位
urf:LandReadjustmentPromotionArea,土地区画整理促進区域
urf:ResidentialBlockConstructionPromotionAreas,住宅街区整備促進区域
urf:LandReadjustmentPromotionAreasForCoreBusinessUrbanDevelopment,拠点業務市街地整備土地区画整理促進区域
urf:UnusedLandUsePromotionArea,遊休土地転換利用促進地区
urf:UrbanDisasterRecoveryPromotionArea,被災市街地復興推進地域
urf:expirationDate,期間満了の日
urf:emergencyRecoveryPolicy,市街地の整備改善の方針
urf:plannedProjectType,事業の種類
urf:UrbanFacility,都市施設
urf:number,番号
urf:threeDimensionalExtent,立体的な範囲
urf:TrafficFacility,交通施設（urf:functionの値により決定）
urf:startLocation,起点
urf:endLocation,終点
urf:viaLocations,経過地
urf:length,延長
urf:width,幅員
urf:urbanRoadAttribute,道路属性
urf:urbanRapidTransitRailroadAttribute,都市高速鉄道属性
urf:parkingPlaceAttribute,駐車場属性
urf:vehicleTerminalAttribute,自動車ターミナル属性
urf:routeTypeNumber,区分
urf:routeSizeNumber,規模
urf:routeSerialNumber,一連番号
urf:roadType,道路の種類
urf:numberOfLanes,車線数
urf:roadStructure,道路の構造
urf:structureType,構造の形式
urf:crossType,交差種別
urf:trafficPlazas,交通広場の有無
urf:structureDetails,構造の内訳
urf:storeysAboveGround,建築物の地上階数
urf:storeysBelowGround,建築物の地下階数
urf:terminalType,自動車ターミナルの種類
urf:StructureDetails,公共空地（urf:functionの値により決定）
urf:minimumWidth,最小幅員
urf:maximumWidth,最大幅員
urf:standardWidth,標準幅員
urf:OpenSpaceForPublicUse,公共空地（urf:functionの値により決定）
urf:parkAttribute,公園属性
urf:parkTypeNumber,区分
urf:parkSizeNumber,規模
urf:parkSerialNumber,一連番号
urf:SupplyFacility,供給施設（urf:functionの値により決定）
urf:waterWorksAttribute,水道属性
urf:TreatmentFacility,処理施設（urf:functionの値により決定）
urf:SewerSystemAttribute,下水道属性
urf:systemType,種別
urf:drainageArea,排水区域
urf:WaterWay,水路（urf:functionの値により決定）
urf:structure,構造
urf:EducationalAndCulturalFacility,教育文化施設（urf:functionの値により決定）
urf:MedicalFacility,医療施設（urf:functionの値により決定）
urf:SocialWelfareFacility,社会福祉施設（urf:functionの値により決定）
urf:MarketsSlaughterhousesCrematoria,市場、と畜場、火葬場（urf:functionの値により決定）
urf:CollectiveHousingFacilities,一団地の住宅施設
urf:numberOfLowRiseHousing,低層住宅の予定戸数
urf:numberOfMiddleRiseHousing,中層住宅の予定戸数
urf:numberOfHighRiseHousing,高層住宅の予定戸数
urf:totalNumberOfHousing,住宅予定数の合計
urf:publicFacilitiesAllocationPolicy,公益的施設、住宅及び公共施設の配置方針
urf:scheduledExecutor,施行予定者
urf:CollectiveGovernmentAndPublicOfficeFacilities,一団地の官公庁施設
urf:DistributionBusinessPark,流通業務団地
urf:distributionBusinessPark,流通業務施設の敷地の位置及び規模
urf:publicAndUtilityFacilities,公共施設及び公益施設の位置及び規模
urf:CollectiveFacilitiesForTsunamiDisasterPrevention,一団地の津波防災拠点市街地形成施設
urf:housingFacilities,住宅施設の位置及び規模
urf:supecificBusinessFacilities,特定業務施設の位置及び規模
urf:utilityFacilities,公益的施設の位置及び伊保
urf:CollectiveFacilitiesForReconstructionAndRevitalization,一団地の復興再生拠点市街地形成施設
urf:CollectiveFacilitiesForReconstruction,一団地の復興拠点市街地形成施設
urf:CollectiveUrbanDisasterPreventionFacilities,一団地の都市安全確保拠点施設
urf:specificUtilityAndPublicFacilities,特定公益施設及び公共施設の位置及び規模
urf:UrbanFacilityStipulatedByCabinetOrder,政令で定める都市施設（urf:functionの値により決定）
urf:TelecommunicationFacility,電気通信施設
urf:WindProtectionFacility,防風施設
urf:FireProtectionFacility,防火施設
urf:TideFacility,防潮施設
urf:FloodPreventionFacility,防水施設
urf:SnowProtectionFacility,防雪施設
urf:SandControlFacility,防砂施設
urf:UrbanDevelopmentProject,市街地開発事業
urf:LandReadjustmentProject,土地区画整理事業
urf:publicFacilityAllocation,公共施設の配置及び規模
urf:buildingLotDevelopment,宅地の整備に関する事項
urf:NewHousingAndUrbanDevelopmentProject,新住宅市街地開発事業
urf:housing,住区
urf:residentialLandUsePlan,宅地の利用計画
urf:IndustrialParkDevelopmentProject,工業団地造成事業
urf:UrbanRedevelopmentProject,市街地再開発事業
urf:developmentPlan,防災施設建築物の整備に関する計画
urf:housingTarget,整備されるべき住宅の個数その他住宅建設の目標
urf:siteArea,建築敷地面積
urf:totalFloorArea,延床面積
urf:numberOfHousing,住宅の個数
urf:NewUrbanInfrastructureProject,新都市基盤整備事業
urf:landForCentralPublicFacilities,公共施設の用に供するべき土地の区域
urf:districtsAllocation,開発誘導地区の配置及び規模
urf:landUsePlan,土地の利用計画
urf:ResidentialBlockConstructionProject,住宅街区整備事業
urf:DisasterPreventionBlockImprovementProject,防災街区整備事業
urf:disasterPreventionPublicFacilityAllocation,防災公共施設の配置及び規模
urf:otherPublicFacilityAllocation,その他の公共施設の配置及び規模
urf:UrbanRenewalProject,市街地改造事業
urf:buildingUsage,主な用途
urf:ScheduledAreaForUrbanDevelopmentProject,予定区域
urf:ScheduledAreaForNewHousingAndUrbanDevelopmentProjects,新住宅市街地開発事業の予定区域
urf:ScheduledAreaForIndustrialParkDevelopmentProjects,工業団地造成事業の予定区域
urf:ScheduledAreaForNewUrbanInfrastructureProjects,新都市基盤整備事業の予定区域
urf:ScheduledAreaForCollectiveHousingFacilities,一団地の住宅施設の予定区域
urf:ScheduledAreaForCollectiveGovernmentAndPublicOfficeFacilities,一団地の官公庁施設の予定区域
urf:ScheduledAreaForDistributionBusinessPark,流通業務団地の予定区域
urf:DistrictPlan,地区計画
urf:objectives,地区計画の目標
urf:policy,方針
urf:districtDevelopmentPlan,特定建築物地区整備計画及び防災街区整備地区整備計画
urf:promotionDistrict,促進区
urf:facilityAllocation,施設の配置及び方針
urf:landUsePolicy,土地利用に関する基本方針
urf:RoadsideDistrictPlan,沿道地区計画
urf:RuralDistrictPlan,集落地区計画
urf:HistoricSceneryMaintenanceAndImprovementDistrictPlan,歴史的風致維持向上地区計画
urf:DisasterPreventionBlockImprovementZonePlan,防災街区整備地区計画
urf:zonalDisasterPreventionFacilitiesAllocation,地区防災施設の区域。
urf:specifiedZonalDisasterPreventionFacilitiesAllocation,特定地区防災施設の区域。
urf:zonalDisasterPreventionFacilities,地区防災施設の区域及び特定地区防災施設
urf:DistrictDevelopmentPlan,地区整備計画
urf:districtFacilitiesAllocation,地区施設の配置及び規模
urf:urbanGreenSpaceConservation,樹林地、草地等の保全に関する事項
urf:activityRestrictionInFarmland,農地での行為の制限
urf:landuseRestrictions,土地の利用に関する事項
urf:districtFacility,地区施設
urf:district,地区
urf:SpecifiedBuildingZoneImprovementPlan,特定建築物地区整備計画
urf:DistrictImprovementPlanForDisasterPreventionBlockImprovementZonePlan,防災街区整備地区整備計画
urf:RoadsideDistrictImprovementPlan,沿道地区整備計画
urf:roadsideDistrictFacilitiesAllocation,沿道地区施設の配置及び規模
urf:RuralDistrictImprovementPlan,集落地区整備計画
urf:ruralDistrictFacilitiesAllocation,集落地区施設の配置及び規模
urf:DistrictImprovementPlanForHistoricSceneryMaintenanceAndImprovementDistrict,歴史的風致維持向上地区整備計画
urf:PromotionDistrict,促進区（urf:functionの値により決定）
urf:District,地区（urf:functionの値により決定）
urf:useRestrictions,建築物の用途の制限
urf:minimumBuildingCoverageRate,建ぺい率の最低限度
minimumGroundHeight,地盤面の高さの最低限度
urf:strucuturePlacementRestrictions,壁面後退区域における工作物の設置の制限
urf:minimumFloorHeight,床面の高さの最低限度
urf:minimumGreeningRate,最低限度の緑被率
urf:fenceGuideline,垣およびさくの構造にかかる制限
urf:restrictionsForFireProtection,防火上の必要な制限
urf:restrictionsForNoiseProtection,御盤上又は遮音上必要な制限
urf:DistrictFacility,地区施設
urf:RoadsideDistrictFacility,沿道地区施設
urf:RuralDistrictFacility,集落地区施設
urf:ZonalDisasterPreventionFacility,地区防災施設
urf:facilityType,地区防災施設の種類
urf:ThreeDimensionalExtent,立体的な範囲
urf:minimumDistance,離隔距離の最小限度
urf:maximumLoad,載荷重の最大限度
urf:Boundary,境界
urf:lod1MultiCurve,LOD1線
urf:offset,オフセット値
urf:offsetDirection,オフセット値の方向
urf:SedimentDisasterProneArea,土砂災害警戒区域
urf:disasterType,災害種別
urf:areaType,区域区分
urf:zoneName,区域名
urf:status,特別警戒未指定フラグ
_uom,単位
_code,コード
_codeSpace,コードスペース
